Zeit_ID,Jahr,Monat,Stunde,Wochentag
849,2018,6,1,Dienstag
850,2018,6,1,Mittwoch
851,2018,6,1,Donnerstag
852,2018,6,1,Freitag
853,2018,6,1,Samstag
854,2018,6,1,Sonntag
855,2018,6,2,Montag
856,2018,6,2,Dienstag
857,2018,6,2,Mittwoch
858,2018,6,2,Donnerstag
859,2018,6,2,Freitag
860,2018,6,2,Samstag
861,2018,6,2,Sonntag
862,2018,6,3,Montag
863,2018,6,3,Dienstag
864,2018,6,3,Mittwoch
865,2018,6,3,Donnerstag
866,2018,6,3,Freitag
867,2018,6,3,Samstag
868,2018,6,3,Sonntag
869,2018,6,4,Montag
870,2018,6,4,Dienstag
871,2018,6,4,Mittwoch
872,2018,6,4,Donnerstag
873,2018,6,4,Freitag
874,2018,6,4,Samstag
875,2018,6,4,Sonntag
876,2018,6,5,Montag
877,2018,6,5,Dienstag
878,2018,6,5,Mittwoch
879,2018,6,5,Donnerstag
880,2018,6,5,Freitag
881,2018,6,5,Samstag
882,2018,6,5,Sonntag
883,2018,6,6,Montag
884,2018,6,6,Dienstag
885,2018,6,6,Mittwoch
886,2018,6,6,Donnerstag
887,2018,6,6,Freitag
888,2018,6,6,Samstag
889,2018,6,6,Sonntag
890,2018,6,7,Montag
891,2018,6,7,Dienstag
892,2018,6,7,Mittwoch
893,2018,6,7,Donnerstag
894,2018,6,7,Freitag
895,2018,6,7,Samstag
896,2018,6,7,Sonntag
897,2018,6,8,Montag
898,2018,6,8,Dienstag
899,2018,6,8,Mittwoch
900,2018,6,8,Donnerstag
901,2018,6,8,Freitag
902,2018,6,8,Samstag
903,2018,6,8,Sonntag
904,2018,6,9,Montag
905,2018,6,9,Dienstag
906,2018,6,9,Mittwoch
907,2018,6,9,Donnerstag
908,2018,6,9,Freitag
909,2018,6,9,Samstag
910,2018,6,9,Sonntag
911,2018,6,10,Montag
912,2018,6,10,Dienstag
913,2018,6,10,Mittwoch
914,2018,6,10,Donnerstag
915,2018,6,10,Freitag
916,2018,6,10,Samstag
917,2018,6,10,Sonntag
918,2018,6,11,Montag
919,2018,6,11,Dienstag
920,2018,6,11,Mittwoch
921,2018,6,11,Donnerstag
922,2018,6,11,Freitag
923,2018,6,11,Samstag
924,2018,6,11,Sonntag
925,2018,6,12,Montag
926,2018,6,12,Dienstag
927,2018,6,12,Mittwoch
928,2018,6,12,Donnerstag
929,2018,6,12,Freitag
930,2018,6,12,Samstag
931,2018,6,12,Sonntag
932,2018,6,13,Montag
933,2018,6,13,Dienstag
934,2018,6,13,Mittwoch
935,2018,6,13,Donnerstag
936,2018,6,13,Freitag
937,2018,6,13,Samstag
938,2018,6,13,Sonntag
939,2018,6,14,Montag
940,2018,6,14,Dienstag
